SZAVAZOKOR,MEGYEKOD,MEGYE,TELEPULES_SORSZAM,TELEPULES,URL
01_002_031,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_032,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_033,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_034,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_035,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_036,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_037,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_038,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_039,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_040,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_041,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_042,01,Budapest,002,1029 Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_043,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_044,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_045,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_046,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_047,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_048,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_049,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_050,01,Budapest,002,1021 Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_051,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_052,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_053,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_054,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_055,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_056,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_057,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_058,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_059,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_060,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_061,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_062,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_063,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_064,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_065,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_066,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_067,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_068,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_069,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
