SZAVAZOKOR,MEGYEKOD,MEGYE,OEVK,SZEKHELY,SZH_KER,TELEPULES_SORSZAM,TELEPULES,OEVK26VF,OEVK14,OEVK26_options,OEVK26_isect,METSZET,OEVK26_or_type,OEVK26_or,OEVK26,MI,OEVK26_largest,ATJELENTKEZOK,INDULO,HONOS,ATJELENTKEZO_IDE,ATJELENTKEZO_INNEN,OSSZESEN,URL,TERULET
01_002_029,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,131370,,,01_04,1,01_04,N,501,478,0,35,478,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-029?tab=data,131370
01_002_030,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,237077,,,01_04,1,01_04,N,602,548,0,39,548,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-030?tab=data,237077
01_002_031,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,534618,,,01_04,1,01_04,N,1117,1054,0,59,1054,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-031?tab=data,534618
01_002_032,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,510321,,,01_04,1,01_04,N,974,909,0,59,909,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-032?tab=data,510321
01_002_033,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,1061955,,,01_04,1,01_04,N,881,815,0,58,815,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-033?tab=data,1061955
01_002_034,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,558426,,,01_04,1,01_04,N,778,720,0,54,720,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-034?tab=data,558426
01_002_035,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,578302,,,01_04,1,01_04,N,904,843,0,56,843,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-035?tab=data,578302
01_002_036,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,585640,,,01_04,1,01_04,N,914,858,0,51,858,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-036?tab=data,585640
01_002_037,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,917966,,,01_04,1,01_04,N,918,868,0,37,868,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-037?tab=data,917966
01_002_038,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,816134,,,01_04,1,01_04,N,1033,993,0,45,993,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-038?tab=data,816134
01_002_039,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,632830,,,01_04,1,01_04,N,948,911,0,49,911,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-039?tab=data,632830
01_002_040,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,536822,,,01_04,1,01_04,N,878,838,0,34,838,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-040?tab=data,536822
01_002_041,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,674352,,,01_04,1,01_04,N,828,783,0,43,783,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-041?tab=data,674352
01_002_042,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,898712,,,01_04,1,01_04,N,829,794,0,30,794,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-042?tab=data,898712
01_002_043,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,562409,,,01_04,1,01_04,N,848,796,0,47,796,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-043?tab=data,562409
01_002_044,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,467559,,,01_04,1,01_04,N,967,916,0,52,916,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-044?tab=data,467559
01_002_045,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,675656,,,01_04,1,01_04,N,932,873,0,52,873,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-045?tab=data,675656
01_002_046,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,544622,,,01_04,1,01_04,N,931,877,0,50,877,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-046?tab=data,544622
01_002_047,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,733512,,,01_04,1,01_04,N,934,890,0,40,890,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-047?tab=data,733512
01_002_048,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,764182,,,01_04,1,01_04,N,938,884,0,54,884,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-048?tab=data,764182
01_002_049,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,854612,,,01_04,1,01_04,N,914,845,0,63,845,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-049?tab=data,856705
01_002_050,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_03|01_04,11075|1034020,,,01_04,0|1,01_04,N,888,817,0,68,817,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-050?tab=data,1045095
01_002_051,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,209079,,,01_04,1,01_04,N,741,698,0,34,698,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-051?tab=data,209079
01_002_052,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,233587,,,01_04,1,01_04,N,697,640,0,53,640,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-052?tab=data,233587
01_002_053,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,197424,,,01_04,1,01_04,N,701,661,0,42,661,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-053?tab=data,197424
01_002_054,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,333460,,,01_04,1,01_04,N,1067,971,0,81,971,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-054?tab=data,333460
01_002_055,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_03|01_04,1960|322761,,,01_04,0|1,01_04,N,914,852,0,54,852,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-055?tab=data,324721
01_002_056,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_03|01_04,300|44986,,,01_04,0|1,01_04,N,783,722,0,54,722,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-056?tab=data,45286
01_002_057,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,186322,,,01_04,1,01_04,N,788,729,0,59,729,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-057?tab=data,186322
01_002_058,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,56416,,,01_04,1,01_04,N,943,867,0,67,867,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-058?tab=data,56416
01_002_059,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,6685,,,01_04,1,01_04,N,807,743,0,56,743,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-059?tab=data,6685
01_002_060,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,100866,,,01_04,1,01_04,N,801,746,0,57,746,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-060?tab=data,100866
01_002_061,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,206320,,,01_04,1,01_04,N,921,856,0,73,856,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-061?tab=data,206320
01_002_062,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,53548,,,01_04,1,01_04,N,644,597,0,42,597,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-062?tab=data,53548
01_002_063,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,77929,,,01_04,1,01_04,N,866,806,0,63,806,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-063?tab=data,77929
01_002_064,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,120442,,,01_04,1,01_04,N,852,793,0,61,793,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-064?tab=data,120442
01_002_065,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,177087,,,01_04,1,01_04,N,924,838,0,82,838,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-065?tab=data,177087
01_002_066,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,44767,,,01_04,1,01_04,N,1026,957,0,59,957,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-066?tab=data,44767
01_002_067,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,79507,,,01_04,1,01_04,N,843,778,0,60,778,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-067?tab=data,79507
01_002_068,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,51217,,,01_04,1,01_04,N,882,808,0,65,808,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-068?tab=data,51217
01_002_069,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,75113,,,01_04,1,01_04,N,967,898,0,60,898,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-069?tab=data,75113
01_002_070,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,72230,,,01_04,1,01_04,N,898,837,0,54,837,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-070?tab=data,72230
01_002_071,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_01|01_04,3989|90264,,,01_04,0|1,01_04,N,892,814,0,68,814,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-071?tab=data,94253
01_002_072,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_04,38539,,,01_04,1,01_04,N,948,883,0,63,883,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-072?tab=data,38539
