megye,település,sorszám,evk,számlKijelölt,átjKijelölt,átjel,átjelInnen,honos,induló,összesen
01,004,003,11,N,N,0,47,1098,1158,1098
01,004,004,11,N,N,0,52,1420,1470,1420
01,004,005,11,N,N,0,41,1219,1265,1219
01,004,006,11,N,N,0,40,1207,1253,1207
01,004,007,11,N,N,0,29,1159,1189,1159
01,004,008,11,N,N,0,25,921,954,921
01,004,009,11,N,N,0,22,978,1013,978
01,004,010,11,N,N,0,27,1102,1135,1102
01,004,011,11,N,N,0,34,900,953,900
01,004,012,11,N,N,0,24,1011,1044,1011
01,004,013,11,N,N,0,22,959,989,959
01,004,014,11,N,N,0,36,919,967,919
01,004,015,11,N,N,0,16,927,947,927
01,004,016,11,N,N,0,33,989,1031,989
01,004,017,11,N,N,0,30,1128,1155,1128
01,004,018,11,N,N,0,29,1060,1098,1060
01,004,019,11,N,N,0,35,988,1042,988
01,004,020,11,N,N,0,16,975,997,975
01,004,021,11,N,N,0,46,981,1035,981
01,004,022,11,N,N,0,34,1011,1064,1011
01,004,023,11,N,N,0,28,985,1027,985
01,004,024,11,N,N,0,35,1115,1162,1115
01,004,025,11,N,N,0,22,985,1009,985
01,004,026,11,N,N,0,44,1057,1100,1057
01,004,027,11,N,N,0,28,1073,1096,1073
01,004,028,11,N,N,0,34,1031,1078,1031
01,004,029,11,N,N,0,32,1042,1093,1042
01,004,030,11,N,N,0,31,1135,1162,1135
01,004,031,11,N,N,0,25,912,944,912
01,004,032,11,N,N,0,39,917,963,917
01,004,033,11,N,N,0,40,930,975,930
01,004,034,11,N,N,0,32,967,996,967
01,004,035,11,N,N,0,31,1034,1074,1034
01,004,036,11,N,N,0,65,1142,1210,1142
01,004,037,11,N,N,0,47,1268,1325,1268
01,004,038,11,N,N,0,33,1008,1052,1008
01,004,039,11,N,N,0,50,915,968,915
01,004,040,11,N,N,0,32,932,955,932
01,004,041,11,N,N,0,38,993,1031,993
01,004,042,11,N,N,0,20,819,846,819
01,004,043,11,N,N,0,34,999,1041,999
01,004,044,11,N,N,0,40,1010,1060,1010
01,004,045,11,N,N,0,29,1038,1061,1038
01,004,046,12,N,N,0,32,1166,1208,1166
01,004,047,12,N,N,0,26,935,975,935
01,004,048,12,N,N,0,34,968,1013,968
01,004,049,12,N,N,0,48,1193,1254,1193
01,004,050,12,N,N,0,31,1160,1203,1160
01,004,051,11,N,N,0,49,1066,1126,1066
01,004,052,11,N,N,0,29,859,891,859
01,004,053,11,N,N,0,31,826,855,826
01,004,054,11,N,N,0,37,987,1032,987
01,004,055,11,N,N,0,29,1015,1057,1015
01,004,056,11,N,N,0,40,1044,1081,1044
01,004,057,11,N,N,0,28,865,898,865
01,004,058,11,N,N,0,57,1196,1258,1196
01,004,059,11,N,N,0,35,942,984,942
01,004,060,11,N,N,0,37,1043,1090,1043
01,004,061,11,N,N,0,46,1092,1142,1092
01,004,062,11,N,N,0,28,935,968,935
01,004,063,11,N,N,0,33,1270,1304,1270
01,004,064,11,I,N,0,37,1098,1146,1098
01,004,065,11,N,N,0,27,999,1045,999
01,004,066,12,N,N,0,26,1041,1079,1041
01,004,067,12,N,N,0,34,990,1027,990
01,004,068,12,N,N,0,30,1087,1120,1087
01,004,069,12,N,N,0,20,1081,1097,1081
01,004,070,12,N,N,0,40,1078,1125,1078
01,004,080,11,N,I,2953,0,0,0,2953
01,005,001,01,N,N,0,40,849,887,849
01,005,002,01,N,N,0,48,688,742,688
01,005,003,01,N,N,0,33,659,691,659
01,005,004,01,N,N,0,70,855,922,855
01,005,005,01,N,N,0,41,848,887,848
01,005,006,01,N,N,0,50,709,766,709
01,005,007,01,N,N,0,51,791,860,791
01,005,008,01,I,N,0,90,927,1031,927
01,005,009,01,N,N,0,55,634,690,634
01,005,010,01,N,N,0,38,581,618,581
01,005,011,01,N,N,0,56,662,720,662
01,005,012,01,N,N,0,63,852,925,852
01,005,013,01,N,N,0,61,830,890,830
01,005,014,01,N,N,0,67,881,953,881
01,005,015,01,N,N,0,75,825,913,825
01,005,016,01,N,N,0,51,709,763,709
01,005,017,01,N,N,0,37,723,774,723
01,005,018,01,N,N,0,49,781,824,781
01,005,019,01,N,N,0,61,778,837,778
01,005,020,01,N,N,0,76,860,935,860
01,005,021,01,N,N,0,72,914,993,914
01,005,022,01,N,I,1585,0,0,0,1585
01,006,001,05,N,N,0,57,695,761,695
01,006,002,05,N,N,0,59,575,636,575
01,006,003,05,N,N,0,49,622,673,622
01,006,004,05,N,N,0,47,727,777,727
01,006,005,05,N,N,0,51,708,768,708
01,006,006,05,N,N,0,47,636,697,636
01,006,007,05,N,N,0,59,627,699,627
01,006,008,05,N,N,0,79,595,684,595
01,006,009,05,N,N,0,59,650,709,650
01,006,010,05,N,N,0,54,631,685,631
01,006,011,05,N,N,0,54,674,735,674
01,006,012,05,N,N,0,52,741,801,741
01,006,013,05,N,N,0,64,689,756,689
01,006,014,05,N,N,0,64,832,908,832
01,006,015,05,N,N,0,61,800,862,800
01,006,016,05,N,N,0,57,801,868,801
01,006,017,05,N,N,0,55,864,922,864
01,006,018,05,N,N,0,79,916,988,916
01,006,019,05,N,N,0,75,908,1000,908
01,006,020,05,N,N,0,63,704,772,704
01,006,021,05,N,N,0,63,877,956,877
01,006,022,05,N,N,0,57,810,866,810
01,006,023,05,N,N,0,75,897,983,897
01,006,024,05,N,N,0,45,866,907,866
01,006,025,05,N,N,0,49,584,637,584
01,006,026,05,N,I,2031,43,700,746,2731
01,006,027,05,N,N,0,71,826,907,826
01,006,028,05,N,N,0,50,749,800,749
01,006,029,05,N,N,0,82,836,925,836
01,006,030,05,N,N,0,55,744,802,744
01,007,001,05,N,N,0,74,919,1004,919
01,007,002,05,N,N,0,79,1034,1123,1034
01,007,003,05,N,N,0,64,966,1041,966
01,007,004,05,N,I,2661,0,0,0,2661
01,007,005,05,I,N,0,85,1052,1139,1052
01,007,006,05,N,N,0,56,990,1042,990
01,007,007,05,N,N,0,77,1070,1153,1070
01,007,008,05,N,N,0,51,539,597,539
01,007,009,05,N,N,0,47,889,940,889
01,007,010,05,N,N,0,81,889,988,889
01,007,011,05,N,N,0,73,888,948,888
01,007,012,05,N,N,0,41,672,716,672
01,007,013,05,N,N,0,59,895,960,895
01,007,014,05,N,N,0,51,841,887,841
01,007,015,05,N,N,0,78,1030,1098,1030
01,007,016,05,N,N,0,73,759,841,759
01,007,017,05,N,N,0,63,750,821,750
01,007,018,05,N,N,0,76,952,1034,952
01,007,019,05,N,N,0,57,758,824,758
01,007,020,05,N,N,0,54,729,792,729
01,007,021,05,N,N,0,54,950,1014,950
01,007,022,05,N,N,0,50,884,928,884
01,007,023,05,N,N,0,42,773,823,773
01,007,024,05,N,N,0,49,870,930,870
01,007,025,05,N,N,0,46,847,888,847
01,007,026,05,N,N,0,61,775,849,775
01,007,027,05,N,N,0,57,793,849,793
01,007,028,05,N,N,0,64,1043,1114,1043
01,007,029,05,N,N,0,62,1016,1100,1016
01,007,030,05,N,N,0,68,1081,1162,1081
01,007,031,05,N,N,0,56,802,855,802
01,007,032,05,N,N,0,62,1057,1135,1057
01,007,033,05,N,N,0,70,902,980,902
01,007,034,05,N,N,0,43,681,730,681
01,007,035,05,N,N,0,46,967,1040,967
01,007,036,05,N,N,0,61,832,895,832
01,007,037,05,N,N,0,48,946,996,946
01,007,038,05,N,N,0,56,780,840,780
01,008,001,01,N,N,0,60,653,727,653
01,008,002,01,N,N,0,49,668,727,668
01,008,003,01,N,N,0,62,592,656,592
01,008,004,01,N,N,0,50,597,661,597
01,008,005,01,N,N,0,61,682,750,682
01,008,006,01,N,N,0,36,569,611,569
01,008,007,06,N,N,0,60,879,944,879
01,008,008,06,N,I,3747,35,1226,1256,4973
01,008,009,01,N,N,0,57,791,852,791
01,008,010,01,N,N,0,71,697,774,697
01,008,011,01,N,N,0,74,942,1030,942
01,008,012,06,N,N,0,47,700,747,700
01,008,013,06,N,N,0,69,905,991,905
01,008,014,06,N,N,0,60,961,1033,961
01,008,015,06,N,N,0,47,808,868,808
01,008,016,06,N,N,0,91,1023,1113,1023
01,008,017,06,N,N,0,58,929,1001,929
01,008,018,06,N,N,0,57,729,785,729
01,008,019,06,N,N,0,48,790,846,790
01,008,020,06,N,N,0,47,1041,1105,1041
01,008,021,06,N,N,0,53,872,928,872
01,008,022,06,N,N,0,44,804,805,804
01,008,023,06,N,N,0,41,613,665,613
01,008,024,06,N,N,0,46,814,860,814
01,008,025,06,N,N,0,48,709,761,709
01,008,026,06,N,N,0,50,715,768,715
01,008,027,06,N,N,0,46,754,808,754
01,008,028,06,N,N,0,25,620,651,620
01,008,029,06,N,N,0,43,913,958,913
01,008,030,06,N,N,0,42,973,1002,973
01,008,031,06,N,N,0,42,1402,1452,1402
01,008,032,06,N,N,0,35,863,913,863
01,008,033,06,N,N,0,31,587,623,587
01,008,034,06,N,N,0,36,614,666,614
01,008,035,06,N,N,0,29,607,632,607
01,008,036,06,N,N,0,39,682,723,682
01,008,037,06,N,N,0,28,501,534,501
01,008,038,06,N,N,0,32,688,727,688
01,008,039,06,N,N,0,35,698,736,698
01,008,040,06,N,N,0,20,645,658,645
01,008,041,06,N,N,0,42,852,888,852
01,008,042,06,N,N,0,60,1140,1206,1140
01,008,043,06,N,N,0,40,981,1033,981
01,008,044,06,N,N,0,19,764,794,764
01,008,045,06,N,N,0,41,739,780,739
01,008,046,06,N,N,0,35,864,907,864
01,008,047,06,N,N,0,32,471,504,471
01,008,048,06,N,N,0,40,911,955,911
01,008,049,06,N,N,0,64,1145,1222,1145
01,008,050,06,N,N,0,35,1012,1059,1012
01,008,051,06,N,N,0,30,692,735,692
01,008,052,06,N,N,0,45,945,986,945
01,008,053,06,N,N,0,27,638,666,638
01,008,054,06,N,N,0,50,972,1034,972
01,008,055,06,N,N,0,31,710,747,710
01,008,056,06,N,N,0,80,996,1073,996
01,008,057,06,N,N,0,30,584,617,584
01,008,058,06,N,N,0,40,607,645,607
01,008,059,06,N,N,0,36,582,616,582
01,008,060,06,I,N,0,38,576,609,576
01,009,001,01,N,N,0,37,575,610,575
01,009,002,01,N,N,0,48,570,617,570
01,009,003,01,N,N,0,46,552,607,552
01,009,004,01,N,N,0,37,559,608,559
01,009,005,01,N,N,0,48,561,615,561
01,009,006,01,N,N,0,59,608,665,608
01,009,007,01,N,N,0,50,674,728,674
01,009,008,01,N,N,0,47,584,642,584
01,009,009,01,N,N,0,51,878,939,878
01,009,010,01,N,N,0,46,594,641,594
01,009,011,01,N,N,0,62,584,642,584
01,009,012,01,N,N,0,50,656,709,656
01,009,013,01,N,N,0,49,750,787,750
