TIPUS,VALASZTAS,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2014EP,01_002_012,JOBBIK,28
Listas,2014EP,01_002_012,SMS,0
Listas,2014EP,01_002_012,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_013,FIDESZ-KDNP,177
Listas,2014EP,01_002_013,EGYÜTT-PM,70
Listas,2014EP,01_002_013,LMP,40
Listas,2014EP,01_002_013,DEMOKRATIKUS KOALÍCIÓ,36
Listas,2014EP,01_002_013,MSZP,29
Listas,2014EP,01_002_013,JOBBIK,18
Listas,2014EP,01_002_013,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_013,SMS,1
Listas,2014EP,01_002_014,FIDESZ-KDNP,194
Listas,2014EP,01_002_014,EGYÜTT-PM,79
Listas,2014EP,01_002_014,MSZP,50
Listas,2014EP,01_002_014,LMP,35
Listas,2014EP,01_002_014,DEMOKRATIKUS KOALÍCIÓ,35
Listas,2014EP,01_002_014,JOBBIK,22
Listas,2014EP,01_002_014,A HAZA NEM ELADÓ,2
Listas,2014EP,01_002_014,SMS,0
Listas,2014EP,01_002_015,FIDESZ-KDNP,264
Listas,2014EP,01_002_015,EGYÜTT-PM,74
Listas,2014EP,01_002_015,DEMOKRATIKUS KOALÍCIÓ,62
Listas,2014EP,01_002_015,LMP,44
Listas,2014EP,01_002_015,MSZP,33
Listas,2014EP,01_002_015,JOBBIK,13
Listas,2014EP,01_002_015,SMS,0
Listas,2014EP,01_002_015,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_016,FIDESZ-KDNP,286
Listas,2014EP,01_002_016,EGYÜTT-PM,89
Listas,2014EP,01_002_016,DEMOKRATIKUS KOALÍCIÓ,67
Listas,2014EP,01_002_016,MSZP,51
Listas,2014EP,01_002_016,LMP,43
Listas,2014EP,01_002_016,JOBBIK,17
Listas,2014EP,01_002_016,SMS,2
Listas,2014EP,01_002_016,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_017,FIDESZ-KDNP,184
Listas,2014EP,01_002_017,EGYÜTT-PM,79
Listas,2014EP,01_002_017,MSZP,46
Listas,2014EP,01_002_017,DEMOKRATIKUS KOALÍCIÓ,41
Listas,2014EP,01_002_017,LMP,38
Listas,2014EP,01_002_017,JOBBIK,34
Listas,2014EP,01_002_017,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_017,SMS,0
Listas,2014EP,01_002_018,FIDESZ-KDNP,219
Listas,2014EP,01_002_018,EGYÜTT-PM,96
Listas,2014EP,01_002_018,DEMOKRATIKUS KOALÍCIÓ,59
Listas,2014EP,01_002_018,MSZP,50
Listas,2014EP,01_002_018,LMP,26
Listas,2014EP,01_002_018,JOBBIK,25
Listas,2014EP,01_002_018,SMS,2
Listas,2014EP,01_002_018,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_019,FIDESZ-KDNP,223
Listas,2014EP,01_002_019,EGYÜTT-PM,101
Listas,2014EP,01_002_019,DEMOKRATIKUS KOALÍCIÓ,76
Listas,2014EP,01_002_019,LMP,37
Listas,2014EP,01_002_019,MSZP,36
Listas,2014EP,01_002_019,JOBBIK,21
Listas,2014EP,01_002_019,SMS,1
Listas,2014EP,01_002_019,A HAZA NEM ELADÓ,0
