Megyekod,Telepuleskod,Szavkor,OEVK ID,Metszet terulet
01,011,068,0110,"140,332"
01,011,069,0110,"133,647"
01,011,070,0101,"1,124"
01,011,070,0110,"330,156"
01,011,071,0101,"4,388"
01,011,071,0110,"230,302"
01,011,072,0109,"1,083"
01,011,072,0110,"279,267"
01,011,073,0101,"6,527"
01,011,073,0109,"1,610,167"
01,011,073,0110,"102,409"
01,011,074,0109,"1,077,833"
01,011,074,0110,"1,271"
01,011,075,0109,"8,194"
01,011,075,0110,"271,895"
01,011,076,0110,"66,200"
01,011,077,0110,"82,190"
01,011,078,0103,"17,413"
01,011,078,0110,"502,450"
01,011,079,0103,308
01,011,079,0110,"778,053"
01,011,080,0110,"209,344"
01,011,081,0110,"359,315"
01,011,082,0110,"130,635"
01,011,083,0110,"92,879"
01,011,084,0110,"165,506"
01,011,085,0109,"7,322"
01,011,085,0110,"668,794"
01,011,086,0110,"224,169"
01,011,087,0110,"114,902"
01,011,088,0109,"764,956"
01,011,088,0110,"469,662"
01,011,089,0110,"117,523"
01,011,090,0109,"14,512"
01,011,090,0110,"2,693,412"
01,011,091,0110,"164,254"
01,011,092,0110,"87,305"
01,011,093,0110,"337,291"
01,011,094,0110,"105,003"
01,011,095,0110,"143,739"
01,011,096,0110,"112,671"
01,011,097,0110,"117,911"
01,011,098,0110,"298,019"
01,011,099,0110,"385,719"
01,011,100,0110,"607,967"
01,011,101,0103,"1,904"
01,011,101,0110,"563,099"
01,011,102,0103,"120,054"
01,011,102,0110,"490,693"
01,011,103,0103,"609,118"
01,011,103,0110,220
01,011,104,0103,"5,916,266"
01,011,104,0110,"12,427"
01,011,105,0103,"1,255,188"
01,011,106,0110,"155,863"
01,012,001,0103,"95,032"
01,012,002,0103,"29,099"
01,012,003,0103,"20,579"
01,012,004,0103,"78,973"
01,012,005,0103,"31,590"
01,012,006,0103,"48,237"
01,012,007,0103,"35,784"
01,012,008,0103,"41,224"
01,012,009,0103,"102,141"
01,012,010,0103,"450,334"
01,012,011,0103,"1,040,020"
01,012,012,0103,"984,315"
01,012,013,0103,"233,325"
01,012,014,0103,"249,491"
01,012,015,0103,"461,173"
01,012,016,0103,"298,456"
01,012,017,0103,"33,622"
01,012,018,0101,"12,369"
01,012,018,0103,"127,097"
01,012,019,0103,"97,256"
01,012,020,0103,"311,596"
01,012,021,0103,"284,798"
01,012,022,0103,"350,399"
01,012,023,0103,"212,921"
01,012,024,0103,"414,177"
01,012,025,0103,"774,199"
01,012,026,0103,"333,324"
01,012,027,0103,"169,952"
01,012,028,0103,"60,754"
01,012,029,0103,"274,202"
01,012,030,0101,"5,917"
01,012,030,0103,"185,040"
01,012,031,0101,"162,138"
01,012,031,0103,"62,768"
01,012,032,0101,"49,812"
01,012,033,0101,"41,750"
01,012,034,0103,"386,276"
01,012,035,0103,"259,845"
01,012,036,0103,"335,852"
01,012,037,0103,"485,970"
01,012,038,0103,"1,097,385"
01,012,039,0103,"682,589"
01,012,040,0103,"332,154"
01,012,041,0103,"297,994"
01,012,042,0103,"499,236"
01,012,043,0103,"1,118,386"
01,012,044,0103,"1,059,351"
01,012,045,0103,"1,924,026"
01,012,046,0103,"4,535,616"
