JKV_AZONOSITO,SZAVAZOKOR,VALASZTOPOLGAR,MEGJELENTEK,URNABAN_LEVO,ELTERES,ERVENYTELEN,ERVENYES,TIPUS,ERVENYES_SZAVAZASI_IRATOK,IRATOKBAN_LEVO_SZAVAZOLAP
59759,08_027_006,966,733,732,-1,3,729,EGYENI,,
59761,08_027_007,967,723,721,-2,5,716,EGYENI,,
59763,08_027_008,1070,781,781,0,3,778,EGYENI,,
59765,08_028_001,611,467,467,0,7,460,EGYENI,,
59767,08_028_002,649,468,468,0,7,461,EGYENI,,
59769,08_029_001,323,226,226,0,0,226,EGYENI,,
59771,08_030_001,486,362,362,0,2,360,EGYENI,,
59773,08_031_001,670,435,435,0,9,426,EGYENI,,
59775,08_031_002,716,506,506,0,8,498,EGYENI,,
59777,08_032_001,196,150,150,0,3,147,EGYENI,,
59779,08_033_001,804,576,576,0,3,573,EGYENI,,
59781,08_033_002,839,597,597,0,8,589,EGYENI,,
59783,08_034_001,576,417,417,0,8,409,EGYENI,,
59785,08_035_001,171,122,122,0,2,120,EGYENI,,
59787,08_035_002,433,314,314,0,4,310,EGYENI,,
59789,08_035_003,577,426,426,0,5,421,EGYENI,,
59791,08_036_001,129,96,96,0,1,95,EGYENI,,
59793,08_037_001,99,80,80,0,0,80,EGYENI,,
59795,08_038_001,441,319,319,0,3,316,EGYENI,,
59797,08_039_001,703,534,528,-6,4,524,EGYENI,,
59799,08_040_001,1397,992,992,0,10,982,EGYENI,,
59801,08_041_001,864,640,637,-3,2,635,EGYENI,,
59803,08_041_002,750,548,548,0,4,544,EGYENI,,
59805,08_042_001,755,588,588,0,7,581,EGYENI,,
59807,08_042_002,792,580,580,0,2,578,EGYENI,,
59809,08_043_001,374,270,269,-1,2,267,EGYENI,,
59811,08_044_001,422,322,322,0,4,318,EGYENI,,
59813,08_045_001,720,524,524,0,4,520,EGYENI,,
59815,08_046_001,91,71,71,0,3,68,EGYENI,,
59817,08_047_001,242,178,177,-1,0,177,EGYENI,,
59819,08_048_001,1069,831,831,0,4,827,EGYENI,,
59821,08_048_002,641,509,509,0,7,502,EGYENI,,
59823,08_048_003,810,595,595,0,1,594,EGYENI,,
59825,08_048_004,101,69,69,0,0,69,EGYENI,,
59827,08_049_001,497,392,392,0,3,389,EGYENI,,
59829,08_050_001,595,453,453,0,0,453,EGYENI,,
59831,08_051_001,922,620,620,0,7,613,EGYENI,,
59833,08_051_002,838,585,581,-4,6,575,EGYENI,,
59835,08_052_001,917,695,695,0,4,691,EGYENI,,
59837,08_052_002,793,619,619,0,5,614,EGYENI,,
59839,08_052_003,654,552,552,0,6,546,EGYENI,,
59841,08_052_004,662,506,506,0,8,498,EGYENI,,
59843,08_053_001,992,739,739,0,8,731,EGYENI,,
59845,08_054_001,844,580,579,-1,6,573,EGYENI,,
59847,08_054_002,865,600,600,0,5,595,EGYENI,,
59849,08_054_003,795,502,502,0,7,495,EGYENI,,
59851,08_055_001,52,42,42,0,0,42,EGYENI,,
59853,08_056_001,1084,796,795,-1,2,793,EGYENI,,
59855,08_057_001,325,225,225,0,0,225,EGYENI,,
59857,08_058_001,970,650,649,-1,3,646,EGYENI,,
59859,08_059_001,972,709,708,-1,1,707,EGYENI,,
59861,08_059_002,1171,755,753,-2,9,744,EGYENI,,
59863,08_059_003,1014,712,712,0,6,706,EGYENI,,
59865,08_059_004,1024,672,672,0,10,662,EGYENI,,
59867,08_059_005,1187,761,760,-1,8,752,EGYENI,,
60009,08_059_006,958,766,766,0,3,763,EGYENI,,
60011,08_059_007,901,653,654,1,16,638,EGYENI,,
60013,08_059_008,624,374,374,0,1,373,EGYENI,,
60015,08_059_009,2955,2585,2585,0,17,2568,EGYENI,,
60017,08_059_010,790,571,571,0,10,561,EGYENI,,
60019,08_059_011,849,442,442,0,3,439,EGYENI,,
60021,08_059_012,1082,554,547,-7,0,547,EGYENI,,
60023,08_059_013,755,595,595,0,10,585,EGYENI,,
60025,08_059_014,877,611,610,-1,3,607,EGYENI,,
60027,08_059_015,1010,786,786,0,5,781,EGYENI,,
60029,08_059_016,850,639,639,0,4,635,EGYENI,,
60031,08_059_017,927,686,686,0,4,682,EGYENI,,
60033,08_059_018,806,667,664,-3,1,663,EGYENI,,
60035,08_059_019,774,627,624,-3,3,621,EGYENI,,
60037,08_059_020,712,577,577,0,2,575,EGYENI,,
60039,08_059_021,1131,853,853,0,7,846,EGYENI,,
60041,08_059_022,1102,896,895,-1,4,891,EGYENI,,
60043,08_059_023,1109,854,854,0,4,850,EGYENI,,
60045,08_059_024,1195,910,909,-1,11,898,EGYENI,,
60047,08_059_025,1037,841,841,0,1,840,EGYENI,,
60049,08_059_026,1165,922,922,0,2,920,EGYENI,,
60051,08_059_027,1232,906,905,-1,6,899,EGYENI,,
60053,08_059_028,1129,887,887,0,9,878,EGYENI,,
60055,08_059_029,1037,786,785,-1,5,780,EGYENI,,
60057,08_059_030,929,750,749,-1,6,743,EGYENI,,
60059,08_059_031,842,602,599,-3,3,596,EGYENI,,
60061,08_059_032,879,621,621,0,9,612,EGYENI,,
60063,08_059_033,951,707,706,-1,6,700,EGYENI,,
60065,08_059_034,1057,732,730,-2,6,724,EGYENI,,
60067,08_059_035,1006,654,654,0,6,648,EGYENI,,
60069,08_059_036,1051,701,697,-4,9,688,EGYENI,,
60071,08_059_037,1082,671,671,0,7,664,EGYENI,,
60073,08_059_038,1005,590,589,-1,7,582,EGYENI,,
60075,08_059_039,1092,789,787,-2,4,783,EGYENI,,
60077,08_059_040,1194,822,822,0,8,814,EGYENI,,
60079,08_059_041,886,603,603,0,8,595,EGYENI,,
60081,08_059_042,1038,716,714,-2,8,706,EGYENI,,
60083,08_059_043,1011,645,645,0,3,642,EGYENI,,
60085,08_059_044,933,659,660,1,18,642,EGYENI,,
60087,08_059_045,958,702,702,0,8,694,EGYENI,,
60089,08_059_046,933,633,633,0,0,633,EGYENI,,
60091,08_059_047,982,673,673,0,7,666,EGYENI,,
60093,08_059_048,913,655,655,0,7,648,EGYENI,,
60095,08_059_049,903,603,603,0,2,601,EGYENI,,
60097,08_059_050,880,599,597,-2,3,594,EGYENI,,
60099,08_059_051,890,626,622,-4,6,616,EGYENI,,
60101,08_059_052,1057,824,819,-5,8,811,EGYENI,,
60103,08_059_053,2617,2261,2254,-7,9,2245,EGYENI,,
60105,08_059_054,1073,791,790,-1,9,781,EGYENI,,
60107,08_059_055,1092,666,664,-2,2,662,EGYENI,,
60109,08_059_056,1016,704,704,0,8,696,EGYENI,,
60111,08_059_057,977,678,678,0,3,675,EGYENI,,
60113,08_059_058,1125,786,785,-1,8,777,EGYENI,,
60115,08_059_059,1064,791,789,-2,4,785,EGYENI,,
60117,08_059_060,1039,729,728,-1,8,720,EGYENI,,
60119,08_059_061,939,729,729,0,9,720,EGYENI,,
60121,08_059_062,1123,828,827,-1,12,815,EGYENI,,
60123,08_059_063,1058,772,769,-3,6,763,EGYENI,,
60125,08_059_064,1123,851,848,-3,8,840,EGYENI,,
60127,08_059_065,1010,684,683,-1,5,678,EGYENI,,
60129,08_059_066,978,719,719,0,5,714,EGYENI,,
60269,08_059_067,1009,707,706,-1,4,702,EGYENI,,
60271,08_059_068,880,687,688,1,18,670,EGYENI,,
60273,08_059_069,870,694,694,0,9,685,EGYENI,,
60275,08_059_070,845,688,688,0,5,683,EGYENI,,
60277,08_059_071,961,586,588,2,20,568,EGYENI,,
60279,08_059_072,1082,724,724,0,4,720,EGYENI,,
60281,08_059_073,1073,720,719,-1,2,717,EGYENI,,
60283,08_059_074,990,716,716,0,4,712,EGYENI,,
60285,08_059_075,863,705,699,-6,6,693,EGYENI,,
60287,08_059_076,965,741,741,0,7,734,EGYENI,,
60289,08_059_077,1123,877,877,0,2,875,EGYENI,,
60291,08_059_078,872,682,682,0,8,674,EGYENI,,
60293,08_059_079,1000,770,770,0,8,762,EGYENI,,
60295,08_059_080,1086,883,881,-2,5,876,EGYENI,,
60297,08_059_081,974,795,795,0,5,790,EGYENI,,
60299,08_059_082,1146,734,730,-4,6,724,EGYENI,,
60301,08_059_083,1122,788,787,-1,5,782,EGYENI,,
60303,08_059_084,1126,784,784,0,4,780,EGYENI,,
60305,08_059_085,1105,796,794,-2,6,788,EGYENI,,
60307,08_059_086,1106,841,841,0,5,836,EGYENI,,
60309,08_059_087,1067,781,779,-2,9,770,EGYENI,,
60311,08_059_088,1228,946,945,-1,10,935,EGYENI,,
60313,08_059_089,1052,779,778,-1,8,770,EGYENI,,
60315,08_059_090,1169,911,911,0,6,905,EGYENI,,
60317,08_059_091,1202,946,946,0,8,938,EGYENI,,
60319,08_059_092,1005,773,773,0,10,763,EGYENI,,
60321,08_059_093,1103,883,881,-2,1,880,EGYENI,,
60323,08_059_094,1249,950,948,-2,5,943,EGYENI,,
60325,08_059_095,1068,821,821,0,9,812,EGYENI,,
60327,08_059_096,1195,906,906,0,8,898,EGYENI,,
60329,08_060_001,431,296,296,0,4,292,EGYENI,,
60331,08_061_001,1340,1020,1019,-1,8,1011,EGYENI,,
60333,08_062_001,1162,840,844,4,6,838,EGYENI,,
60335,08_063_001,635,385,385,0,2,383,EGYENI,,
60337,08_064_001,765,442,442,0,7,435,EGYENI,,
60339,08_064_002,804,475,475,0,7,468,EGYENI,,
60341,08_064_003,937,658,658,0,4,654,EGYENI,,
60343,08_065_001,1208,947,947,0,18,929,EGYENI,,
60345,08_065_002,1599,1265,1264,-1,11,1253,EGYENI,,
60347,08_065_003,1120,920,920,0,7,913,EGYENI,,
60349,08_065_004,1198,938,938,0,12,926,EGYENI,,
60351,08_066_001,1389,1126,1126,0,16,1110,EGYENI,,
60353,08_067_001,1169,887,887,0,5,882,EGYENI,,
60355,08_067_002,965,732,731,-1,7,724,EGYENI,,
60357,08_068_001,1188,838,838,0,1,837,EGYENI,,
60359,08_068_002,1193,849,849,0,9,840,EGYENI,,
60361,08_068_003,124,93,93,0,0,93,EGYENI,,
60363,08_069_001,877,689,688,-1,2,686,EGYENI,,
60365,08_069_002,886,709,709,0,2,707,EGYENI,,
60367,08_070_001,871,617,615,-2,6,609,EGYENI,,
60369,08_070_002,963,661,661,0,6,655,EGYENI,,
60371,08_070_003,778,527,527,0,2,525,EGYENI,,
60373,08_071_001,1138,942,940,-2,4,936,EGYENI,,
60375,08_072_001,958,664,664,0,3,661,EGYENI,,
60377,08_073_001,322,260,260,0,0,260,EGYENI,,
60379,08_074_001,552,400,400,0,0,400,EGYENI,,
60381,08_075_001,249,205,205,0,0,205,EGYENI,,
60383,08_076_001,769,559,559,0,3,556,EGYENI,,
60385,08_076_002,662,521,520,-1,3,517,EGYENI,,
60387,08_077_001,991,614,614,0,3,611,EGYENI,,
60389,08_078_001,831,579,579,0,6,573,EGYENI,,
60391,08_078_002,809,514,514,0,5,509,EGYENI,,
60393,08_078_003,728,495,495,0,5,490,EGYENI,,
60395,08_078_004,838,589,588,-1,2,586,EGYENI,,
60397,08_078_005,807,520,520,0,11,509,EGYENI,,
60527,08_078_006,626,412,412,0,9,403,EGYENI,,
60529,08_078_007,199,114,114,0,1,113,EGYENI,,
60531,08_079_001,466,299,299,0,3,296,EGYENI,,
60533,08_080_001,1029,712,712,0,4,708,EGYENI,,
60535,08_081_001,143,99,99,0,2,97,EGYENI,,
60537,08_081_002,1111,850,848,-2,10,838,EGYENI,,
60539,08_081_003,1006,755,754,-1,6,748,EGYENI,,
60541,08_081_004,964,748,748,0,5,743,EGYENI,,
60543,08_081_005,1012,770,770,0,5,765,EGYENI,,
60545,08_081_006,1094,769,769,0,5,764,EGYENI,,
60547,08_081_007,981,749,749,0,3,746,EGYENI,,
60549,08_081_008,1023,795,795,0,4,791,EGYENI,,
60551,08_081_009,874,653,653,0,11,642,EGYENI,,
60553,08_082_001,670,438,436,-2,6,430,EGYENI,,
60555,08_082_002,920,643,643,0,5,638,EGYENI,,
60557,08_082_003,199,135,135,0,11,124,EGYENI,,
60559,08_083_001,187,149,149,0,0,149,EGYENI,,
60561,08_084_001,693,543,543,0,4,539,EGYENI,,
60563,08_085_001,277,220,220,0,1,219,EGYENI,,
60565,08_086_001,615,488,488,0,4,484,EGYENI,,
60567,08_087_001,823,574,573,-1,2,571,EGYENI,,
60569,08_087_002,858,578,576,-2,7,569,EGYENI,,
60571,08_088_001,1084,794,791,-3,5,786,EGYENI,,
60573,08_088_002,1069,769,768,-1,6,762,EGYENI,,
60575,08_089_001,863,693,693,0,7,686,EGYENI,,
60577,08_089_002,780,629,629,0,7,622,EGYENI,,
60579,08_090_001,976,746,745,-1,7,738,EGYENI,,
60581,08_091_001,448,291,291,0,5,286,EGYENI,,
60583,08_092_001,688,456,456,0,11,445,EGYENI,,
60585,08_092_002,744,514,514,0,12,502,EGYENI,,
60587,08_093_001,1071,749,747,-2,10,737,EGYENI,,
60589,08_093_002,664,452,452,0,11,441,EGYENI,,
60591,08_093_003,804,547,547,0,10,537,EGYENI,,
60593,08_094_001,582,445,445,0,7,438,EGYENI,,
60595,08_095_001,1163,847,846,-1,13,833,EGYENI,,
60597,08_096_001,73,51,51,0,0,51,EGYENI,,
60599,08_097_001,379,256,256,0,1,255,EGYENI,,
60601,08_098_001,385,263,263,0,1,262,EGYENI,,
60603,08_099_001,697,471,471,0,9,462,EGYENI,,
60605,08_099_002,787,570,570,0,6,564,EGYENI,,
60607,08_100_001,481,367,367,0,7,360,EGYENI,,
60609,08_101_001,758,509,509,0,5,504,EGYENI,,
60611,08_102_001,82,61,61,0,0,61,EGYENI,,
60613,08_103_001,892,697,697,0,8,689,EGYENI,,
60615,08_104_001,812,655,655,0,10,645,EGYENI,,
60617,08_104_002,756,487,487,0,7,480,EGYENI,,
60619,08_104_003,820,551,550,-1,6,544,EGYENI,,
60621,08_104_004,1239,950,950,0,12,938,EGYENI,,
60623,08_104_005,1063,739,739,0,5,734,EGYENI,,
60625,08_104_006,761,547,547,0,5,542,EGYENI,,
60627,08_104_007,813,536,535,-1,5,530,EGYENI,,
60629,08_104_008,811,619,619,0,4,615,EGYENI,,
60631,08_104_009,787,513,513,0,10,503,EGYENI,,
60633,08_104_010,931,582,582,0,6,576,EGYENI,,
60635,08_104_011,879,551,550,-1,7,543,EGYENI,,
60637,08_104_012,739,541,541,0,0,541,EGYENI,,
60639,08_104_013,901,644,644,0,4,640,EGYENI,,
60641,08_104_014,889,654,654,0,5,649,EGYENI,,
60643,08_104_015,708,520,520,0,11,509,EGYENI,,
60645,08_104_016,714,514,514,0,7,507,EGYENI,,
60647,08_104_017,850,576,575,-1,5,570,EGYENI,,
60649,08_104_018,844,587,587,0,6,581,EGYENI,,
60651,08_104_019,862,564,564,0,11,553,EGYENI,,
60653,08_104_020,823,573,573,0,5,568,EGYENI,,
60655,08_104_021,765,506,506,0,6,500,EGYENI,,
60657,08_104_022,927,616,616,0,10,606,EGYENI,,
60793,08_104_023,723,466,466,0,4,462,EGYENI,,
60795,08_104_024,2282,1949,1886,-63,25,1861,EGYENI,,
60797,08_104_025,774,439,438,-1,3,435,EGYENI,,
60799,08_104_026,840,558,550,-8,2,548,EGYENI,,
60801,08_104_027,868,540,538,-2,12,526,EGYENI,,
60803,08_104_028,860,559,558,-1,7,551,EGYENI,,
60805,08_104_029,786,539,538,-1,7,531,EGYENI,,
60807,08_104_030,828,608,608,0,4,604,EGYENI,,
60809,08_105_001,959,666,668,2,6,662,EGYENI,,
60811,08_105_002,1033,677,676,-1,9,667,EGYENI,,
60813,08_106_001,679,464,463,-1,5,458,EGYENI,,
60815,08_106_002,675,480,480,0,4,476,EGYENI,,
60817,08_107_001,671,495,494,-1,5,489,EGYENI,,
60819,08_108_001,758,600,600,0,13,587,EGYENI,,
60821,08_109_001,790,588,588,0,1,587,EGYENI,,
60823,08_109_002,862,669,667,-2,5,662,EGYENI,,
60825,08_110_001,811,564,564,0,9,555,EGYENI,,
60827,08_111_001,629,435,435,0,6,429,EGYENI,,
60829,08_111_002,834,529,528,-1,6,522,EGYENI,,
60831,08_112_001,173,139,139,0,7,132,EGYENI,,
60833,08_113_001,352,288,288,0,2,286,EGYENI,,
60835,08_114_001,887,686,686,0,4,682,EGYENI,,
60837,08_114_002,958,699,699,0,2,697,EGYENI,,
60839,08_114_003,1112,817,814,-3,11,803,EGYENI,,
60841,08_114_004,470,344,344,0,2,342,EGYENI,,
60843,08_115_001,714,517,517,0,9,508,EGYENI,,
60845,08_116_001,858,604,599,-5,8,591,EGYENI,,
60847,08_116_002,783,579,578,-1,6,572,EGYENI,,
60849,08_116_003,778,540,540,0,4,536,EGYENI,,
60851,08_117_001,1021,657,656,-1,16,640,EGYENI,,
60853,08_117_002,712,498,498,0,3,495,EGYENI,,
60855,08_117_003,804,576,574,-2,9,565,EGYENI,,
60857,08_117_004,185,151,151,0,1,150,EGYENI,,
60859,08_118_001,333,242,242,0,2,240,EGYENI,,
60861,08_119_001,240,180,180,0,4,176,EGYENI,,
60863,08_120_001,824,555,555,0,4,551,EGYENI,,
60865,08_121_001,1160,867,867,0,2,865,EGYENI,,
60867,08_122_001,866,700,700,0,6,694,EGYENI,,
60869,08_123_001,836,587,587,0,6,581,EGYENI,,
60871,08_123_002,916,638,638,0,7,631,EGYENI,,
60873,08_123_003,270,189,189,0,2,187,EGYENI,,
60875,08_124_001,278,219,219,0,2,217,EGYENI,,
60877,08_125_001,93,74,75,1,7,68,EGYENI,,
60879,08_126_001,226,187,187,0,1,186,EGYENI,,
60881,08_127_001,508,380,380,0,3,377,EGYENI,,
60883,08_128_001,427,298,298,0,3,295,EGYENI,,
60885,08_128_002,608,464,464,0,4,460,EGYENI,,
60887,08_128_003,422,296,296,0,5,291,EGYENI,,
60889,08_129_001,1017,719,717,-2,5,712,EGYENI,,
60891,08_130_001,416,289,289,0,2,287,EGYENI,,
60893,08_131_001,474,354,354,0,0,354,EGYENI,,
60895,08_132_001,588,454,454,0,5,449,EGYENI,,
60897,08_133_001,1054,718,717,-1,7,710,EGYENI,,
60899,08_133_002,996,726,726,0,4,722,EGYENI,,
60901,08_134_001,811,595,594,-1,4,590,EGYENI,,
60903,08_135_001,62,50,50,0,0,50,EGYENI,,
60905,08_136_001,365,288,288,0,2,286,EGYENI,,
60907,08_137_001,428,310,310,0,1,309,EGYENI,,
60909,08_138_001,119,100,100,0,1,99,EGYENI,,
60911,08_139_001,791,606,606,0,4,602,EGYENI,,
60913,08_140_001,136,101,101,0,2,99,EGYENI,,
60915,08_141_001,226,163,163,0,0,163,EGYENI,,
60917,08_142_001,286,239,239,0,0,239,EGYENI,,
60919,08_143_001,448,314,314,0,8,306,EGYENI,,
60921,08_144_001,247,169,169,0,5,164,EGYENI,,
60923,08_145_001,353,264,264,0,4,260,EGYENI,,
60925,08_146_001,489,373,373,0,1,372,EGYENI,,
60927,08_146_002,181,149,149,0,0,149,EGYENI,,
60929,08_146_003,79,58,58,0,2,56,EGYENI,,
61073,08_147_001,260,191,191,0,4,187,EGYENI,,
61075,08_148_001,224,165,165,0,0,165,EGYENI,,
61077,08_149_001,929,671,671,0,12,659,EGYENI,,
61079,08_150_001,943,559,561,2,18,543,EGYENI,,
61081,08_150_002,994,651,649,-2,6,643,EGYENI,,
61083,08_150_003,1061,717,716,-1,4,712,EGYENI,,
61085,08_150_004,935,720,719,-1,1,718,EGYENI,,
61087,08_150_005,771,585,585,0,3,582,EGYENI,,
61089,08_150_006,917,674,672,-2,2,670,EGYENI,,
61091,08_150_007,1026,786,786,0,7,779,EGYENI,,
61093,08_150_008,841,618,616,-2,2,614,EGYENI,,
61095,08_150_009,1089,807,807,0,3,804,EGYENI,,
61097,08_150_010,793,571,573,2,17,556,EGYENI,,
61099,08_150_011,845,604,604,0,2,602,EGYENI,,
61101,08_150_012,854,660,660,0,5,655,EGYENI,,
61103,08_150_013,814,545,545,0,2,543,EGYENI,,
61105,08_150_014,777,572,562,-10,2,560,EGYENI,,
61107,08_150_015,792,569,569,0,4,565,EGYENI,,
61109,08_150_016,964,683,680,-3,5,675,EGYENI,,
61111,08_150_017,650,508,508,0,1,507,EGYENI,,
61113,08_150_018,780,581,580,-1,3,577,EGYENI,,
61115,08_150_019,1029,804,804,0,8,796,EGYENI,,
61117,08_150_020,807,596,596,0,2,594,EGYENI,,
61119,08_150_021,777,618,618,0,2,616,EGYENI,,
61121,08_150_022,906,716,715,-1,2,713,EGYENI,,
61123,08_150_023,1097,857,853,-4,2,851,EGYENI,,
61125,08_150_024,840,599,599,0,2,597,EGYENI,,
61127,08_150_025,621,442,442,0,1,441,EGYENI,,
61129,08_150_026,2829,2464,2452,-12,17,2435,EGYENI,,
61131,08_150_027,755,606,604,-2,1,603,EGYENI,,
61133,08_150_028,987,664,665,1,15,650,EGYENI,,
61135,08_150_029,1200,883,883,0,14,869,EGYENI,,
61137,08_150_030,766,503,503,0,1,502,EGYENI,,
61139,08_150_031,1051,774,774,0,2,772,EGYENI,,
61141,08_150_032,981,715,714,-1,2,712,EGYENI,,
61143,08_150_033,1023,797,791,-6,4,787,EGYENI,,
61145,08_150_034,946,655,655,0,10,645,EGYENI,,
61147,08_150_035,816,607,604,-3,5,599,EGYENI,,
61149,08_150_036,1153,877,876,-1,7,869,EGYENI,,
61151,08_150_037,986,709,708,-1,5,703,EGYENI,,
61153,08_150_038,896,684,685,1,12,673,EGYENI,,
61155,08_150_039,1018,811,809,-2,4,805,EGYENI,,
61157,08_150_040,1132,895,895,0,1,894,EGYENI,,
61159,08_150_041,976,841,841,0,2,839,EGYENI,,
61161,08_150_042,830,691,691,0,4,687,EGYENI,,
61163,08_150_043,986,754,754,0,2,752,EGYENI,,
61165,08_150_044,929,716,715,-1,18,697,EGYENI,,
61167,08_150_045,709,552,551,-1,3,548,EGYENI,,
61169,08_150_046,746,549,549,0,6,543,EGYENI,,
61171,08_150_047,946,718,718,0,5,713,EGYENI,,
61173,08_150_048,1368,1055,1055,0,2,1053,EGYENI,,
61175,08_150_049,1018,804,803,-1,3,800,EGYENI,,
61177,08_150_050,758,496,496,0,5,491,EGYENI,,
61179,08_151_001,647,548,547,-1,3,544,EGYENI,,
61181,08_152_001,991,763,763,0,4,759,EGYENI,,
61183,08_153_001,254,189,189,0,3,186,EGYENI,,
61185,08_154_001,343,249,249,0,3,246,EGYENI,,
61187,08_155_001,1041,778,778,0,4,774,EGYENI,,
61189,08_155_002,667,488,488,0,7,481,EGYENI,,
61191,08_156_001,775,574,574,0,8,566,EGYENI,,
61193,08_157_001,649,420,420,0,8,412,EGYENI,,
61195,08_158_001,1080,697,695,-2,9,686,EGYENI,,
61197,08_159_001,541,399,398,-1,1,397,EGYENI,,
61199,08_160_001,332,251,251,0,3,248,EGYENI,,
61201,08_161_001,569,419,419,0,3,416,EGYENI,,
61203,08_162_001,726,512,512,0,6,506,EGYENI,,
61205,08_163_001,158,128,128,0,1,127,EGYENI,,
61343,08_164_001,1249,886,886,0,12,874,EGYENI,,
61345,08_165_001,1141,640,640,0,1,639,EGYENI,,
61347,08_165_002,961,593,593,0,7,586,EGYENI,,
61349,08_165_003,1069,744,744,0,2,742,EGYENI,,
61351,08_166_001,826,557,557,0,4,553,EGYENI,,
61353,08_166_002,771,581,581,0,12,569,EGYENI,,
61355,08_167_001,259,201,201,0,1,200,EGYENI,,
61357,08_168_001,808,577,575,-2,4,571,EGYENI,,
61359,08_169_001,649,400,400,0,9,391,EGYENI,,
61361,08_170_001,74,67,67,0,0,67,EGYENI,,
61363,08_171_001,418,319,319,0,2,317,EGYENI,,
61365,08_172_001,1342,1028,1021,-7,13,1008,EGYENI,,
61367,08_173_001,292,211,210,-1,2,208,EGYENI,,
61369,08_174_001,133,102,102,0,3,99,EGYENI,,
61371,08_175_001,745,591,591,0,11,580,EGYENI,,
61373,08_176_001,823,586,586,0,3,583,EGYENI,,
61375,08_177_001,146,107,107,0,0,107,EGYENI,,
61377,08_178_001,1083,827,827,0,5,822,EGYENI,,
61379,08_179_001,307,249,249,0,2,247,EGYENI,,
61381,08_180_001,109,84,84,0,0,84,EGYENI,,
61383,08_181_001,529,394,394,0,2,392,EGYENI,,
61385,08_182_001,440,279,279,0,5,274,EGYENI,,
61387,08_183_001,359,237,237,0,7,230,EGYENI,,
61389,09_001_001,723,387,386,-1,10,376,EGYENI,,
61391,09_001_002,664,382,382,0,8,374,EGYENI,,
61393,09_002_001,482,282,282,0,5,277,EGYENI,,
61395,09_003_001,887,566,566,0,11,555,EGYENI,,
61397,09_003_002,926,477,477,0,10,467,EGYENI,,
61399,09_004_001,950,667,667,0,9,658,EGYENI,,
61401,09_005_001,974,688,687,-1,12,675,EGYENI,,
61403,09_005_002,732,507,507,0,2,505,EGYENI,,
61405,09_005_003,887,636,636,0,8,628,EGYENI,,
61407,09_005_004,838,584,583,-1,7,576,EGYENI,,
61409,09_005_005,726,514,514,0,6,508,EGYENI,,
61411,09_005_006,830,449,449,0,36,413,EGYENI,,
61413,09_005_007,783,593,596,3,30,566,EGYENI,,
61415,09_005_008,915,626,626,0,10,616,EGYENI,,
61417,09_005_009,1002,611,612,1,17,595,EGYENI,,
61419,09_005_010,765,493,493,0,6,487,EGYENI,,
61421,09_005_011,997,518,518,0,17,501,EGYENI,,
61423,09_005_012,888,494,494,0,6,488,EGYENI,,
61425,09_005_013,879,587,586,-1,8,578,EGYENI,,
61427,09_005_014,819,554,554,0,4,550,EGYENI,,
61429,09_005_015,822,578,578,0,7,571,EGYENI,,
61431,09_005_016,875,569,569,0,12,557,EGYENI,,
61433,09_005_017,85,48,48,0,0,48,EGYENI,,
61435,09_006_001,613,405,406,1,2,404,EGYENI,,
61437,09_006_002,694,424,424,0,10,414,EGYENI,,
61439,09_006_003,712,446,446,0,4,442,EGYENI,,
61441,09_007_001,279,176,176,0,5,171,EGYENI,,
61443,09_008_001,737,372,372,0,6,366,EGYENI,,
61445,09_008_002,776,447,446,-1,5,441,EGYENI,,
61447,09_009_001,817,603,602,-1,0,602,EGYENI,,
61449,09_009_002,662,468,468,0,0,468,EGYENI,,
61451,09_009_003,666,469,469,0,8,461,EGYENI,,
61453,09_009_004,906,591,590,-1,3,587,EGYENI,,
61455,09_009_005,2586,2097,2090,-7,9,2081,EGYENI,,
61457,09_009_006,820,414,413,-1,3,410,EGYENI,,
61459,09_009_007,726,522,522,0,1,521,EGYENI,,
61461,09_009_008,681,386,386,0,3,383,EGYENI,,
61463,09_009_009,808,577,576,-1,5,571,EGYENI,,
61465,09_009_010,655,433,433,0,4,429,EGYENI,,
61467,09_009_011,780,559,559,0,3,556,EGYENI,,
61469,09_009_012,664,512,512,0,1,511,EGYENI,,
61471,09_009_013,904,607,606,-1,4,602,EGYENI,,
61473,09_009_014,589,454,454,0,4,450,EGYENI,,
61475,09_009_015,728,461,461,0,2,459,EGYENI,,
61477,09_009_016,737,444,444,0,6,438,EGYENI,,
61609,09_010_001,155,106,106,0,0,106,EGYENI,,
61611,09_011_001,673,462,462,0,7,455,EGYENI,,
61613,09_011_002,618,379,376,-3,0,376,EGYENI,,
61615,09_011_003,612,351,351,0,4,347,EGYENI,,
61617,09_011_004,765,439,439,0,12,427,EGYENI,,
61619,09_011_005,703,424,424,0,5,419,EGYENI,,
61621,09_012_001,635,379,379,0,3,376,EGYENI,,
61623,09_012_002,668,306,306,0,4,302,EGYENI,,
61625,09_012_003,710,365,365,0,5,360,EGYENI,,
61627,09_013_001,727,472,472,0,11,461,EGYENI,,
61629,09_014_001,1319,878,873,-5,9,864,EGYENI,,
61631,09_014_002,1287,893,893,0,11,882,EGYENI,,
61633,09_015_001,417,240,240,0,1,239,EGYENI,,
61635,09_016_001,729,495,495,0,4,491,EGYENI,,
61637,09_016_002,744,443,443,0,6,437,EGYENI,,
61639,09_016_003,47,37,37,0,1,36,EGYENI,,
61641,09_017_001,461,300,300,0,2,298,EGYENI,,
