SZAVAZOKOR,MEGYEKOD,MEGYE,OEVK,TELEPULES_SORSZAM,TELEPULES,SZAVKORCIM,AKADALYMENTES,ATJELENTKEZOK,OEVK26_options,OEVK26_isect,METSZET,MI,OEVK26_largest,OEVK26,URL
01_002_004,01,BUDAPEST,04,002,Budapest II. kerület,Bolyai u. 15. (Óvoda),Nem,Nem,01_04,01_04,185341,1,01_04,01_04,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=002&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=004
01_002_005,01,BUDAPEST,04,002,Budapest II. kerület,Áldás u. 1.  (Ált. Iskola),Nem,Nem,01_04,01_04,469909,1,01_04,01_04,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=002&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=005
01_002_006,01,BUDAPEST,04,002,Budapest II. kerület,Ürömi u. 64. (Újlaki  Ált. Isk.),Nem,Nem,01_04,01_04,385969,1,01_04,01_04,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=002&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=006
01_002_007,01,BUDAPEST,04,002,Budapest II. kerület,Törökvész út 18. (Kézmûv. Óvoda),Igen,Nem,01_04,01_04,354227,1,01_04,01_04,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=002&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=007
01_002_008,01,BUDAPEST,04,002,Budapest II. kerület,Áldás u. 1. (Ált. Isk.),Nem,Nem,01_04,01_04,357943,1,01_04,01_04,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=002&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=008
01_002_009,01,BUDAPEST,04,002,Budapest II. kerület,Áldás u. 1. (Ált. Isk.),Nem,Nem,01_04,01_04,299284,1,01_04,01_04,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=002&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=009
01_002_010,01,BUDAPEST,04,002,Budapest II. kerület,Felvinci út 6-8. (Kollégium),Nem,Nem,01_04,01_04,208568,1,01_04,01_04,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=002&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=010
01_002_011,01,BUDAPEST,04,002,Budapest II. kerület,Keleti K. u. 37. (II. Rákóczi F.Gimn.),Igen,Igen,01_04,01_04,174973,1,01_04,01_04,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=002&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=011
01_002_012,01,BUDAPEST,04,002,Budapest II. kerület,Fillér u. 70-76. (Fillér Ált. Isk.),Nem,Nem,01_04,01_04,509236,1,01_04,01_04,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=002&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=012
01_002_013,01,BUDAPEST,04,002,Budapest II. kerület,Pasaréti út 41. (Bölcsõde),Nem,Nem,01_04,01_04,212527,1,01_04,01_04,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=002&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=013
